date,communication_services,consumer_discretionary,consumer_staples,energy,financials,health_care,industrials,information_technology,materials,utilities,sp_500
2011-02-28,96.25,118.58,181.26,334.5,87.75,133.37,148.66,58.85,187.83,157.55,2095.78
2011-03-01,94.51,116.51,180.42,329.39,85.83,132.47,145.39,57.86,183.51,156.06,2062.79
2011-03-02,94.84,116.97,179.9,331.03,85.27,132.84,146.05,58.14,183.94,156.45,2066.36
2011-03-03,96.06,118.93,181.79,336.14,87.1,135.48,149.51,59.11,187.6,157.94,2101.99
2011-03-04,95.23,118.11,180.97,333.99,85.95,135.4,147.78,58.71,186.26,157.03,2086.5
2011-03-07,94.45,116.96,180.47,331.56,85.38,134.25,146.54,57.89,183.0,157.62,2069.14
2011-03-08,95.18,117.77,182.01,329.51,87.29,135.15,148.76,58.25,184.83,159.31,2087.87
2011-03-09,95.36,118.03,182.98,327.46,87.22,135.35,148.44,57.91,182.08,161.07,2085.26
2011-03-10,94.03,116.81,181.77,315.55,85.44,133.18,145.45,56.73,178.06,159.08,2045.9
2011-03-11,94.15,117.42,181.87,320.71,86.14,133.63,147.17,57.1,180.53,159.56,2060.83
2011-03-14,93.06,116.12,180.51,322.05,85.3,132.98,145.93,56.88,180.12,157.37,2048.41
2011-03-15,92.08,115.15,178.65,319.44,84.26,131.48,144.37,55.99,179.85,154.43,2025.48
2011-03-16,90.43,113.22,176.11,313.59,82.66,129.09,141.47,54.48,176.33,151.89,1986.03
2011-03-17,91.66,113.74,177.13,323.16,83.8,130.65,143.71,55.0,179.38,152.21,2012.68
2011-03-18,92.03,113.67,178.39,321.9,84.76,131.53,144.73,55.07,180.35,152.76,2021.35
2011-03-21,93.11,115.31,180.65,331.26,85.29,132.32,147.71,56.12,183.48,154.71,2051.67
2011-03-22,93.14,114.41,180.32,330.36,84.84,132.29,146.55,55.97,183.1,154.86,2044.55
2011-03-23,93.64,115.38,180.85,331.12,84.59,132.17,147.06,56.3,185.68,154.81,2050.53
2011-03-24,94.69,117.05,182.35,331.97,85.01,133.7,148.54,57.21,186.49,155.35,2069.68
2011-03-25,94.91,117.31,182.41,335.04,85.19,134.05,149.01,57.3,187.47,155.36,2076.23
2011-03-28,94.91,116.06,182.35,334.61,84.93,134.0,148.96,56.99,186.58,154.84,2070.52
2011-03-29,95.97,117.14,183.21,338.06,85.2,134.88,150.08,57.36,188.53,156.3,2085.44
2011-03-30,96.98,118.39,184.33,340.76,85.84,135.87,150.74,57.45,190.45,158.19,2099.55
2011-03-31,96.95,117.93,183.92,339.59,85.46,135.82,151.29,57.3,191.24,157.74,2095.7
2011-04-01,97.35,118.79,185.01,340.94,86.15,136.61,152.65,57.26,191.88,158.86,2106.12
2011-04-04,97.43,118.98,185.38,340.88,86.12,137.41,152.84,56.96,193.22,158.74,2107.03
2011-04-05,96.69,119.43,185.6,342.04,86.03,136.74,152.19,56.92,195.38,158.22,2106.67
2011-04-06,96.62,119.18,186.32,338.82,87.02,137.02,152.48,57.33,193.84,159.42,2111.88
2011-04-07,96.49,118.78,186.52,339.49,86.64,136.81,151.76,57.36,193.48,158.7,2108.72
2011-04-08,96.35,118.12,185.98,340.67,85.89,136.89,150.48,57.02,192.28,158.33,2100.28
2011-04-11,96.24,118.03,187.04,334.38,85.85,137.54,150.34,56.93,189.92,156.17,2094.44
